Total time,Physics time,Receive time,Total connections,Connections in ROI,Connections outside ROI,Number of closest clients,Known clients,Total entities,Received messages,Sent messages
3040114190,5031,0,0,0,0,0,0,12,,
3050114118,5122,0,0,0,0,0,0,11,,
3060114586,4436,0,0,0,0,0,0,12,,
3070114121,5044,0,0,0,0,0,0,10,,
3080114800,5346,0,0,0,0,0,0,10,,
3090114407,4410,0,0,0,0,0,0,11,,
3100114335,5200,0,0,0,0,0,0,11,,
3110114857,4665,0,0,0,0,0,0,11,,
3120114977,4362,0,0,0,0,0,0,12,,
3130115347,5435,0,0,0,0,0,0,12,,
3140115300,5085,0,0,0,0,0,0,10,,
3150115030,4797,0,0,0,0,0,0,11,,
3160115493,4873,0,0,0,0,0,0,10,,
3170115690,4221,0,0,0,0,0,0,9,,
3180115968,4384,0,0,0,0,0,0,10,,
3190115949,5465,0,0,0,0,0,0,10,,
3200115542,5236,0,0,0,0,0,0,10,,
3210115729,3909,0,0,0,0,0,0,10,,
3220116354,4634,0,0,0,0,0,0,9,,
3230116425,6333,0,0,0,0,0,0,9,,
3240116677,4290,0,0,0,0,0,0,9,,
3250116716,4237,0,0,0,0,0,0,9,,
3260116411,4192,0,0,0,0,0,0,9,,
3270117167,4692,0,0,0,0,0,0,10,,
3280116871,5204,0,0,0,0,0,0,10,,
3290117094,5290,0,0,0,0,0,0,10,,
3300117200,5002,0,0,0,0,0,0,11,,
3310117639,5223,0,0,0,0,0,0,11,,
3320117605,5057,0,0,0,0,0,0,10,,
3330117531,5257,0,0,0,0,0,0,11,,
3340117783,4929,0,0,0,0,0,0,9,,
3350117415,4702,0,0,0,0,0,0,8,,
3360117921,4582,0,0,0,0,0,0,9,,
3370117618,4167,0,0,0,0,0,0,8,,
3380118100,4373,0,0,0,0,0,0,8,,
3390117960,4631,0,0,0,0,0,0,9,,
3400118440,4597,0,0,0,0,0,0,9,,
3410118150,4456,0,0,0,0,0,0,8,,
3420118665,3901,0,0,0,0,0,0,9,,
3430118984,4467,0,0,0,0,0,0,9,,
3440118952,3892,0,0,0,0,0,0,9,,
3450119116,4243,0,0,0,0,0,0,10,,
3460119217,3598,0,0,0,0,0,0,8,,
3470118905,4086,0,0,0,0,0,0,8,,
3480119620,4090,0,0,0,0,0,0,9,,
3490119534,4568,0,0,0,0,0,0,8,,
3500119209,4099,0,0,0,0,0,0,8,,
3510119284,3705,0,0,0,0,0,0,8,,
3520119864,4031,0,0,0,0,0,0,8,,
3530119976,4129,0,0,0,0,0,0,8,,
3540119995,4238,0,0,0,0,0,0,9,,
3550119653,4322,0,0,0,0,0,0,9,,
3560120179,3949,0,0,0,0,0,0,9,,
3570120267,4214,0,0,0,0,0,0,9,,
3580120284,4262,0,0,0,0,0,0,9,,
3590119941,4163,0,0,0,0,0,0,9,,
3600120403,3928,0,0,0,0,0,0,10,,
3610120605,4030,0,0,0,0,0,0,10,,
3620120525,4077,0,0,0,0,0,0,10,,
3630120701,5399,0,0,0,0,0,0,9,,
3640121228,4293,0,0,0,0,0,0,9,,
3650121226,4167,0,0,0,0,0,0,9,,
3660120786,3508,0,0,0,0,0,0,10,,
3670121354,4824,0,0,0,0,0,0,10,,
3680121648,4635,0,0,0,0,0,0,8,,
3690121619,3779,0,0,0,0,0,0,9,,
3700121180,4735,0,0,0,0,0,0,9,,
3710121387,4203,0,0,0,0,0,0,8,,
3720121851,13489,0,0,0,0,0,0,9,,
3730121825,4942,0,0,0,0,0,0,9,,
3740121503,4892,0,0,0,0,0,0,9,,
3750121948,4358,0,0,0,0,0,0,10,,
3760122000,4364,0,0,0,0,0,0,10,,
3770122174,5151,0,0,0,0,0,0,10,,
3780122445,4487,0,0,0,0,0,0,10,,
3790122159,5101,0,0,0,0,0,0,10,,
3800122694,4530,0,0,0,0,0,0,9,,
3810122309,4086,0,0,0,0,0,0,8,,
3820122704,3600,0,0,0,0,0,0,8,,
3830123194,4186,0,0,0,0,0,0,8,,
3840122714,4244,0,0,0,0,0,0,9,,
3850122692,4302,0,0,0,0,0,0,8,,
3860122792,3819,0,0,0,0,0,0,8,,
3870122866,3964,0,0,0,0,0,0,9,,
3880123736,4156,0,0,0,0,0,0,9,,
3890123575,5326,0,0,0,0,0,0,9,,
3900123644,4796,102457,3,0,3,3,3,10,C:16 R:6 ,C:19 R:6 
3910123796,4777,20232,4,0,4,4,4,10,C:3 R:2 ,C:9 R:1 
3920123986,4965,0,4,0,4,4,4,9,,
3930123912,5227,15215,4,0,4,4,4,10,B:3 C:3 ,B:3 C:3 
3940124291,5700,7947,5,0,5,5,5,10,C:4 R:2 B:1 ,C:12 R:1 B:1 
3950124730,5115,0,5,0,5,5,5,10,,
3960124413,4692,7695,5,0,5,5,5,10,B:3 C:3 ,B:3 C:3 
3970124841,4717,8911,6,0,5,5,6,10,C:5 R:2 B:1 ,C:14 R:1 B:2 
3980125223,4731,0,6,0,5,5,6,10,,
3990125245,6229,6293,6,0,5,5,6,11,B:3 C:3 ,B:3 C:3 
4000125320,4859,8725,7,0,5,5,7,11,C:5 R:2 B:1 ,C:14 R:1 B:2 
4010124874,4729,0,7,0,5,5,7,10,,
4020125663,4343,4807,7,0,5,5,7,11,B:3 C:3 ,B:3 C:3 
4030125910,5418,9213,8,0,5,5,8,11,C:5 R:2 B:2 ,C:15 R:1 B:2 
4040125871,4905,3461,8,0,5,5,8,10,R:3 ,C:15 
4050126225,4831,7414,8,0,5,5,8,11,C:10 ,R:5 C:1 
4060125891,5024,13697,10,0,5,5,10,11,R:5 B:1 C:6 ,C:32 R:2 
4070126013,5150,0,10,0,5,5,10,11,,
4080126715,4955,10776,11,0,6,6,11,12,C:7 R:2 B:2 ,C:15 R:1 B:4 
4090126309,5960,10834,12,0,7,7,12,12,R:3 C:4 B:2 ,B:1 C:23 R:1 
4100126441,5113,0,11,0,7,7,11,12,,
4110126900,5359,11569,12,0,6,6,12,13,C:7 R:2 B:2 ,C:19 R:1 B:4 
4120126820,5948,11800,13,0,6,6,13,12,R:3 C:5 B:2 ,B:2 C:22 R:1 
4130126781,6063,4200,13,0,6,6,13,10,C:2 R:1 ,C:8 R:1 
4140127217,5657,6661,14,0,7,7,14,11,C:3 R:2 B:1 ,C:16 R:1 B:3 
4150127030,5956,16176,15,0,7,7,15,11,B:3 C:9 R:2 ,C:21 B:3 R:1 
4160127675,4577,0,14,0,7,7,14,11,,
4170127686,5184,8593,15,0,7,7,15,12,C:4 R:2 B:1 ,C:16 R:1 B:1 
4180127653,6151,17061,16,0,7,7,16,12,B:5 C:8 R:2 ,B:5 C:22 R:1 
4190127756,5025,1635,16,0,7,7,16,12,R:1 ,C:7 
4200127550,5524,18197,17,0,6,6,14,12,C:13 R:2 B:2 ,C:22 R:8 B:2 
4210127922,6141,22063,17,0,7,7,16,12,C:14 R:3 B:2 ,B:1 C:25 R:1 
4220127604,7010,0,16,0,7,7,15,12,,
4230128172,5970,8342,16,0,7,7,12,13,R:3 C:3 B:2 ,C:25 R:1 
4240127819,6082,15486,17,0,7,7,13,13,B:3 C:7 R:3 ,B:4 C:26 R:1 
4250127951,5584,0,16,0,7,7,13,13,,
4260128379,6389,11853,17,0,7,7,13,14,C:5 R:2 B:3 ,C:20 R:1 B:2 
4270128156,6776,22905,19,0,7,7,16,14,B:4 C:11 R:5 ,B:5 C:45 R:2 
4280128977,5838,0,18,0,7,7,15,14,,
4290129184,6881,10375,19,0,7,7,15,15,C:5 R:2 B:3 ,C:20 R:1 B:2 
4300129330,6590,22835,20,0,7,7,17,15,C:11 R:6 B:2 ,B:5 C:52 R:2 
4310129279,6049,5207,19,0,7,7,17,15,C:3 R:1 ,C:9 R:1 
4320129370,6035,10949,20,0,7,7,17,16,R:3 C:4 B:3 ,C:27 R:1 B:1 
4330129122,7279,20055,21,0,7,7,19,16,C:11 R:4 B:2 ,B:5 C:36 R:2 
4340129405,7928,4243,21,0,7,7,19,15,C:2 R:1 ,C:9 R:1 
4350130499,6606,10948,22,0,7,7,19,15,C:5 R:3 B:1 ,B:2 C:24 R:8 
4360130414,7065,28732,23,0,7,7,23,16,C:18 R:5 B:1 ,B:1 C:43 R:2 
4370130431,6274,0,21,0,7,7,21,15,,
4380130696,6287,8363,22,0,7,7,20,16,R:3 C:3 B:1 ,C:25 R:1 
4390130529,19543,25432,24,0,7,7,21,17,B:5 C:11 R:5 ,B:6 C:44 R:2 
4400131036,7734,1044,21,0,7,7,18,16,C:1 ,
4410131389,8194,8440,21,0,7,7,18,16,C:4 R:2 B:1 ,B:1 C:16 R:1 
4420130998,8317,23987,22,0,7,7,19,17,B:4 C:10 R:5 ,C:45 B:5 R:2 
4430131700,7926,1620,20,0,7,7,18,15,C:1 B:1 ,C:1 
4440132014,7234,10035,20,0,7,7,19,14,C:5 R:3 B:1 ,B:2 C:26 R:1 
4450131886,6026,22418,21,0,8,8,21,14,B:3 C:11 R:4 ,B:5 C:39 R:2 
4460131640,6195,9271,20,0,8,8,21,13,B:2 C:3 R:1 ,C:12 R:1 
4470132120,6555,10265,21,0,8,8,21,14,C:5 R:2 B:1 ,B:2 C:20 R:1 
4480131860,6884,21549,22,0,8,8,21,14,B:2 C:10 R:4 ,C:37 B:5 R:2 
4490132420,6511,5434,21,0,8,8,21,13,R:1 C:1 B:2 ,C:10 
4500132807,6232,22694,21,0,8,8,20,14,C:13 R:3 B:1 ,B:2 C:29 R:9 
4510132771,7523,27553,23,0,8,8,25,14,C:19 R:5 B:1 ,C:50 B:1 R:2 
4520132850,6192,1214,22,0,8,8,24,14,B:1 ,C:1 
4530132916,7478,13653,23,0,8,8,25,14,C:6 R:2 B:2 ,C:19 R:1 B:3 
4540132576,7570,28121,24,0,8,8,24,13,B:2 C:13 R:6 ,B:4 C:59 R:3 
4550133094,5880,1357,23,0,8,8,23,13,B:1 ,C:1 
4560133336,6256,16416,23,0,8,8,22,13,R:3 C:6 B:2 ,C:29 R:1 B:3 
4570133433,7457,19973,24,0,8,8,21,14,B:3 C:8 R:4 ,B:4 C:39 R:2 
4580133415,6794,3113,22,0,8,8,20,13,C:2 R:1 ,C:9 
4590133400,6804,11848,22,0,8,8,19,14,C:6 R:2 B:2 ,C:19 R:1 B:3 
4600133521,6646,19424,23,0,8,8,20,15,B:4 C:8 R:3 ,B:4 C:31 R:2 
4610133606,5828,4036,20,0,8,8,18,14,C:2 R:1 ,C:9 
4620134344,6212,11970,21,0,8,8,19,15,C:6 R:2 B:3 ,C:20 R:1 B:3 
4630134205,6774,17348,22,0,8,8,19,14,B:4 C:7 R:3 ,B:4 C:31 R:1 
4640134842,7064,7648,20,0,8,8,18,14,C:3 R:2 ,C:19 R:1 
4650135169,7026,36447,21,0,8,8,22,15,R:3 C:31 B:2 ,C:29 R:9 B:2 
4660135555,7967,11797,20,0,8,8,20,15,C:3 R:3 B:2 ,C:28 R:1 
4670135563,6765,6234,20,0,8,8,20,15,C:3 R:2 ,C:19 R:1 
4680136046,6135,14622,20,0,8,8,20,16,R:3 C:9 B:1 ,C:29 R:1 B:6 
4690136022,7290,11139,21,0,8,8,18,16,R:3 C:4 B:1 ,C:29 R:1 B:1 
4700136085,7211,6883,21,0,8,8,19,16,C:3 R:2 ,C:19 R:1 
4710135666,6889,18581,21,0,7,7,20,16,C:10 R:2 B:1 ,C:20 R:1 B:7 
4720136386,8149,10857,21,0,7,7,20,16,R:3 C:3 B:1 ,C:24 R:1 
4730136591,7056,6393,21,0,7,7,20,16,C:3 R:2 ,C:17 R:1 
